Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
United States,US20,9.4,8.3,9.2,5.3,5.4,7.1,4.6,7.8,9.6
United States,US21,8.4,6,7.8,4.2,2.3,6.6,3.7,6.3,9.5
United States,US22,8.2,6.1,8.8,0,2.3,8.5,5.2,6.3,8.6
United States,US23,9.6,7.6,8.8,7.9,5.9,8.7,5.7,7.7,10
United States,US24,9.2,7.7,10,0,5.9,5.3,4.9,8.1,9.4
United States,US25,9.3,7.5,10,6.6,7.4,7.7,6.1,8.3,8.8
United States,US26,9.2,5.7,8.3,0.3,4.9,6.8,5.3,7.5,10
United States,US27,9.7,8.8,10,8.2,7.8,6.4,6.6,8.7,10
United States,US28,8.1,5.3,7.2,0,1.3,8.3,6.9,4.7,8.9
United States,US29,9,7.3,8.6,0.1,4.2,6.6,4.7,6.8,9.9
United States,US30,9.7,7.7,7.4,6.5,5.5,9.1,5.1,6.2,10
United States,US31,9.5,9.6,9.6,5.7,6.5,7,4.2,7.5,9.9
United States,US32,8.5,5.4,8.2,2.4,4.7,8.6,3.4,7.1,7.7
United States,US33,9.6,8.8,10,9.2,7.1,8.2,5.8,8.9,10
United States,US34,9.1,6.7,10,3.8,7.1,6.1,4.3,8,8.2
United States,US35,8.3,6.3,7.6,0,5.5,8.8,4.2,5.1,8.3
United States,US36,8.7,6.3,10,4.3,7.5,5.7,3.6,7.2,7.4
United States,US37,8.6,5.9,8.3,2.6,4.5,7,5.7,6.8,9.6
United States,US38,9.6,9.9,10,6,6.6,8.1,4.7,7.5,10
United States,US39,9.1,6.9,8.8,3.9,4.4,5.9,4.5,6.9,10
United States,US40,8.8,7.4,8.5,1.8,2.3,7.9,2.3,5.9,8.9
United States,US41,9.3,6.7,8.2,7.1,6.3,9.7,5.5,8,8.5
United States,US42,9.2,7.1,10,2.3,5.3,5.7,4.2,7.1,10
United States,US44,8.8,6.3,10,6.6,6.6,7.8,4.4,7.7,8.8
United States,US45,8.5,5.5,7.6,0.1,3.5,7.5,4.9,6.2,9.9
United States,US46,9.4,9.4,9.2,6.4,6.5,8.1,4.1,7.4,10
United States,US47,8.6,6.4,8.6,1.2,2.8,6.9,3,5.9,9.5
United States,US48,8,7,9.3,3.3,5.2,8.3,2.6,5.6,7.1
United States,US49,9.5,7.6,7.5,8,6.9,8.9,3.3,8.1,7.4
United States,US50,9.7,9.3,9.5,8.7,6.9,8.3,4.6,7.8,10
United States,US51,9.1,7.8,10,4.1,5.8,6.4,5.3,7.2,9.4
United States,US53,9.4,6.6,9.9,6.7,6.8,9.5,5,8.9,8.5
United States,US54,8.6,5.8,7.6,4.5,1.8,6.6,1.3,6,10
United States,US55,9.5,8,9.3,6.4,6.6,6.7,6.7,8.1,9.9
United States,US56,9.6,8.7,9.9,7.1,5.1,8.9,3.7,7.7,10
