Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
France,FR24,7.5,5.4,5.3,9.3,8.9,5.6,8.4,8,5.5
France,FR25,7.4,5.5,5,9.6,8.5,6.7,8.7,8,5.6
France,FR26,7.3,5.5,5.2,9.2,8.4,5.6,8.3,8,5.7
France,FR30,7.3,3.3,4.3,8.9,6,3.1,7.7,7.5,5.2
France,FR41,7.5,4.5,4.7,9.2,7.7,5,8,8.2,5.7
France,FR42,8,6.3,5.1,9.5,8.9,1.9,8,8.2,5.1
France,FR43,7.2,5.8,4.9,8.9,8.7,4.1,8.6,8.2,5.8
France,FR51,7.8,6.1,5,9.5,9.5,6.8,8.9,8.1,5.5
France,FR52,8.5,6.3,5,9.4,8.1,7.2,9,8.1,6.1
France,FR53,7.6,5.9,5,9.3,9,6.9,8.6,8.1,6.1
France,FR61,7.7,5.6,5.2,9.2,9.4,6.1,8.7,8.4,5.7
France,FR62,8.4,6.2,5.1,9.4,9.9,6.2,8.9,8.4,5.7
France,FR63,7.8,6.5,5.1,9.4,8.6,7.4,8.9,8.4,6.2
France,FR71,7.7,6.3,5.4,9.2,9.9,4.6,8.5,8.2,4.8
France,FR72,7.7,5.6,5.2,9.5,8.2,6.5,8.8,8.2,5.9
France,FR81,6.6,3.2,4.7,8.5,8.9,6.4,8.6,8.4,5.1
France,FR82,7.1,5.2,5.2,7.3,9.5,5.9,8.2,8.4,4
France,FR83,5.7,3.3,4.8,0,9.2,7,6.9,8.4,4.2
Germany,DE1,8.6,9.5,6.4,10,8.6,3,6.9,8.9,7
Germany,DE2,8.9,9.7,6.6,10,7.6,3.9,6,9.3,7.3
Germany,DE3,8.8,5.9,4.7,9.2,7.2,2.4,6.5,9.5,6.6
Germany,DE4,9.9,7.8,4.8,8.5,6.3,3.5,5.6,7.6,7.2
Germany,DE5,8.2,7.1,5.9,8.7,6.6,4.5,5.7,9.8,7.3
Germany,DE6,8.8,8.5,6.4,9.5,7.5,4,5.9,9.4,6.3
Germany,DE7,8.8,8.8,6,9.5,7.8,4.2,6.6,9.4,7.1
Germany,DE8,9.8,6.4,4.5,10,5.8,5.7,5,7.7,7.5
Germany,DE9,8.7,8.4,5.4,9.5,6.9,4.7,6.7,9.8,7.7
Germany,DEA,8.3,7.7,5.8,10,6.7,2.8,6.5,9.6,6.7
Germany,DEB,8.4,8.8,6.1,10,7.1,3.8,6.5,9.2,8
Germany,DEC,8.4,7.5,5.3,8.6,6.2,4.2,6.5,8.6,8.6
Germany,DED,10,7.5,4.8,9.7,6.9,4.3,5.9,8.2,7.8
Germany,DEE,9.9,6.9,4.5,9.3,6.7,4.3,4.3,8.4,8.1
Germany,DEF,8.8,8.5,5.8,9.1,6.9,5.1,6.6,9.3,7.3
Germany,DEG,10,8.2,4.6,9.2,6.2,5.2,5.6,9.3,7.6
Greece,GR1,5.6,0.6,3.3,9.7,5.9,1.9,6.5,3.9,1.7
Greece,GR2,4.8,1.1,3.1,9.7,7,3.8,5.6,2.7,1.9
Greece,GR3,7.9,0.9,4.7,6.7,6.3,4.3,6.2,6.1,1.7
Greece,GR4,5,0.9,3.4,8.6,7.1,4.2,5.7,3.7,1.6
