Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Estonia,Estonia,EE00,9.5,6.2,1.2,3.5,2.2,7.6,4.6,8.0,2.0
Estonia TL3,North Estonia,EE001,9.9,7.4,1.8,1.6,2.7,8.2,5.9,9.2,1.6
Estonia TL3,West Estonia,EE004,9.0,6.2,0.8,2.9,1.6,7.2,3.6,7.2,3.0
Estonia TL3,Central Estonia,EE006,8.5,6.2,0.7,4.5,0.0,7.9,3.1,7.0,2.7
Estonia TL3,Northeast Estonia,EE007,9.6,2.7,0.4,0.0,1.5,6.9,4.1,7.0,1.4
Estonia TL3,South Estonia,EE008,9.3,5.8,0.8,5.6,1.1,7.0,3.8,7.5,2.5
Finland,Western Finland,FI19,8.6,6.8,3.6,9.6,7.3,8.9,5.6,9.8,5.9
Finland,Helsinki-Uusimaa,FI1B,8.9,8.3,4.8,9.5,7.3,7.5,6.7,10.0,4.9
Finland,Southern Finland,FI1C,8.6,6.8,3.8,10.0,6.8,8.5,5.8,10.0,5.8
Finland,Eastern and Northern Finland,FI1D,8.7,5.8,3.4,9.6,6.5,8.9,4.7,9.9,5.5
Finland,Åland,FI20,7.6,10.0,5.0,10.0,7.9,7.7,3.0,6.6,7.3
France,Île-de-France,FR10,7.5,6.2,6.8,8.8,10.0,4.2,7.7,9.2,3.1
France,Champagne-Ardenne,FR21,6.7,4.7,4.8,9.1,7.8,4.4,8.0,8.0,5.7
France,Picardy,FR22,6.1,4.8,4.9,8.9,6.8,4.1,8.3,8.0,5.1
France,Upper Normandy,FR23,6.8,4.9,5.0,8.7,7.7,5.3,8.3,8.0,5.0
France,Centre (FR),FR24,7.5,5.4,5.3,9.3,8.9,5.6,8.4,8.0,5.5
France,Lower Normandy,FR25,7.4,5.5,5.0,9.6,8.5,6.7,8.7,8.0,5.6
France,Burgundy,FR26,7.3,5.5,5.2,9.2,8.4,5.6,8.3,8.0,5.7
France,Nord-Pas-de-Calais,FR30,7.3,3.3,4.3,8.9,6.0,3.1,7.7,7.5,5.2
France,Lorraine,FR41,7.5,4.5,4.7,9.2,7.7,5.0,8.0,8.2,5.7
France,Alsace,FR42,8.0,6.3,5.1,9.5,8.9,1.9,8.0,8.2,5.1
France,Franche-Comté,FR43,7.2,5.8,4.9,8.9,8.7,4.1,8.6,8.2,5.8
France,Pays de la Loire,FR51,7.8,6.1,5.0,9.5,9.5,6.8,8.9,8.1,5.5
France,Brittany,FR52,8.5,6.3,5.0,9.4,8.1,7.2,9.0,8.1,6.1
France,Poitou-Charentes,FR53,7.6,5.9,5.0,9.3,9.0,6.9,8.6,8.1,6.1
France,Aquitaine,FR61,7.7,5.6,5.2,9.2,9.4,6.1,8.7,8.4,5.7
France,Midi-Pyrénées,FR62,8.4,6.2,5.1,9.4,9.9,6.2,8.9,8.4,5.7
France,Limousin,FR63,7.8,6.5,5.1,9.4,8.6,7.4,8.9,8.4,6.2
France,Rhône-Alpes,FR71,7.7,6.3,5.4,9.2,9.9,4.6,8.5,8.2,4.8
France,Auvergne,FR72,7.7,5.6,5.2,9.5,8.2,6.5,8.8,8.2,5.9
France,Languedoc-Roussillon,FR81,6.6,3.2,4.7,8.5,8.9,6.4,8.6,8.4,5.1
France,Provence-Alpes-Côte d'Azur,FR82,7.1,5.2,5.2,7.3,9.5,5.9,8.2,8.4,4.0
France,Corsica,FR83,5.7,3.3,4.8,0.0,9.2,7.0,6.9,8.4,4.2
Germany,Baden-Württemberg,DE1,8.6,9.5,6.4,10.0,8.6,3.0,6.9,8.9,7.0
Germany,Bavaria,DE2,8.9,9.7,6.6,10.0,7.6,3.9,6.0,9.3,7.3
Germany,Berlin,DE3,8.8,5.9,4.7,9.2,7.2,2.4,6.5,9.5,6.6
Germany,Brandenburg,DE4,9.9,7.8,4.8,8.5,6.3,3.5,5.6,7.6,7.2
Germany,Bremen,DE5,8.2,7.1,5.9,8.7,6.6,4.5,5.7,9.8,7.3
Germany,Hamburg,DE6,8.8,8.5,6.4,9.5,7.5,4.0,5.9,9.4,6.3
Germany,Hesse,DE7,8.8,8.8,6.0,9.5,7.8,4.2,6.6,9.4,7.1
Germany,Mecklenburg-Vorpommern,DE8,9.8,6.4,4.5,10.0,5.8,5.7,5.0,7.7,7.5
Germany,Lower Saxony,DE9,8.7,8.4,5.4,9.5,6.9,4.7,6.7,9.8,7.7
Germany,North Rhine-Westphalia,DEA,8.3,7.7,5.8,10.0,6.7,2.8,6.5,9.6,6.7
Germany,Rhineland-Palatinate,DEB,8.4,8.8,6.1,10.0,7.1,3.8,6.5,9.2,8.0
Germany,Saarland,DEC,8.4,7.5,5.3,8.6,6.2,4.2,6.5,8.6,8.6
Germany,Saxony,DED,10.0,7.5,4.8,9.7,6.9,4.3,5.9,8.2,7.8
Germany,Saxony-Anhalt,DEE,9.9,6.9,4.5,9.3,6.7,4.3,4.3,8.4,8.1
Germany,Schleswig-Holstein,DEF,8.8,8.5,5.8,9.1,6.9,5.1,6.6,9.3,7.3
Germany,Thuringia,DEG,10.0,8.2,4.6,9.2,6.2,5.2,5.6,9.3,7.6
Greece,Northern Greece,GR1,5.6,0.6,3.3,9.7,5.9,1.9,6.5,3.9,1.7
Greece,Central Greece,GR2,4.8,1.1,3.1,9.7,7.0,3.8,5.6,2.7,1.9
Greece,Athens,GR3,7.9,0.9,4.7,6.7,6.3,4.3,6.2,6.1,1.7
Greece,Aegean Islands and Crete,GR4,5.0,0.9,3.4,8.6,7.1,4.2,5.7,3.7,1.6
Hungary,Central Hungary,HU10,9.7,5.7,1.7,8.0,2.0,1.5,5.6,8.3,1.5
Hungary,Central Transdanubia,HU21,8.6,5.1,1.3,9.1,0.6,2.3,4.7,7.4,1.2
